Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Comfort Public Library,"15,930",01/01/2021,12/31/2021,Comfort,8309952398,"$1,11,090","$18,455","$3,733",$0,"$17,845",Yes,Yes,"24,896",483,"17,299","4,526","48,882","11,901","2,246","5,569","3,560","16,374",Yes,15,803,"9,584","1,657",49
Commerce Public Library,"21,817",10/01/2020,09/30/2021,Commerce,9038866858,"$75,913","$4,705","$4,679",$0,$0,Yes,Yes,"20,733","1,020","29,479","4,885","56,959","6,120","10,882","1,248","2,604","7,199",Yes,7,804,-1,"1,375",49
Montgomery County Memorial Library System,"6,19,535",10/01/2020,09/30/2021,Conroe,9367888377,"$83,27,811","$5,97,488","$2,68,857",$0,$0,Yes,Yes,"5,24,896","38,559","6,08,051","4,70,325","17,13,237","4,73,879","3,23,158","8,93,505","4,49,295","24,33,970",Yes,231,"34,032","85,44,560","2,869",52
Converse Public Library,"27,466",10/01/2020,09/30/2021,Converse,2106594160,"$2,08,825","$24,698","$14,833","$34,134","$69,466",Yes,Yes,"19,248",238,"16,771","4,405","43,449","19,909","5,534","7,382","1,355","19,795",Yes,11,"5,023","6,197","1,936",51
Cozby Library and Community Commons,"42,983",10/01/2020,09/30/2021,Coppell,9723043655,"$15,16,805","$1,58,000","$65,669",$0,$0,Yes,Yes,"79,758","3,297","1,54,768","64,869","3,09,622","74,959","35,464","1,11,046","44,622","4,13,084",Yes,20,"2,571","44,528","1,977",51
Copperas Cove Public Library,"36,670",10/01/2020,09/30/2021,Copperas Cove,2545473826,"$3,38,666","$16,245","$3,950",$0,$0,Yes,Yes,"43,796","1,836","18,265","4,699","71,996","43,049","16,520","32,005","9,503","73,622",Yes,23,"11,916","34,650","2,496",52
Corpus Christi Public Libraries,"3,17,863",10/01/2020,09/30/2021,Corpus Christi,3618267070,"$23,73,084","$2,70,444","$1,19,297","$18,72,918","$18,72,918",Yes,Yes,"3,26,249","14,840","22,688","21,642","4,12,948","2,25,792","91,340","1,82,081","61,356","4,53,148",Yes,102,"42,344","10,64,181","2,221",48
Mickey Reily Public Library,"1,477",10/01/2020,09/30/2021,Corrigan,9363984156,"$1,03,114","$5,825",$0,$0,$0,Yes,Yes,"21,943",869,0,0,"23,898","3,803","4,998","1,439",0,"1,872",Yes,10,"1,093",-1,"1,853",49
Corsicana Public Library,"25,109",10/01/2020,09/30/2021,Corsicana,9036544810,"$3,42,814","$38,000","$6,000",$0,"$12,498",Yes,Yes,"77,953","1,937","35,367","7,105","1,25,852","49,617","25,457","30,523","7,425","52,456",Yes,9,"4,308",-1,"1,849",52
Alexander Memorial Library,"7,500",01/01/2021,12/31/2021,Cotulla,8308792601,"$65,369","$5,086",$900,$0,$0,Yes,Yes,"17,887",167,"31,181","1,941","52,719","1,820","3,062",453,598,"1,514",Yes,6,652,-1,"1,260",42
Crandall-Combine Community Library,"16,603",09/01/2020,08/31/2021,Crandall,9724276120,"$1,27,756","$22,325","$7,226",$0,$0,Yes,Yes,"26,625",845,"64,862","7,102","99,831","23,250","3,587","5,025","1,675","9,849",Yes,12,94,"5,113","1,008",32
Crane County Library,"4,765",10/01/2020,09/30/2021,Crane,4325581142,"$1,77,930","$14,432","$2,560",$0,"$17,500",Yes,Yes,"18,205",468,"18,837","3,564","43,141","14,500","1,130","3,450",466,"7,835",Yes,11,"4,600",-1,"1,968",52
JH Wootters Crockett Public Library,"6,332",10/01/2020,09/30/2021,Crockett,9365443089,"$1,21,340","$32,750","$5,784",$0,"$15,500",Yes,Yes,"50,024",801,"20,417","1,806","75,021","20,019","7,830","16,246","1,815","24,911",Yes,12,"14,000","1,092","2,912",52
Crosby County Library,"5,567",10/01/2020,09/30/2021,Crosbyton,8066752673,"$74,197","$3,682","$1,500",$0,$0,Yes,Yes,"25,200",369,"19,376","3,373","48,481","4,480","1,702","4,967",862,"7,653",Yes,20,868,856,"1,372",51
Cross Plains Public Library,"2,693",01/01/2021,12/31/2021,Cross Plains,2547257722,"$13,391","$1,364",$701,$0,$0,Yes,Yes,"20,146",822,"1,43,300","58,611","2,23,579","2,107","4,071","1,805",627,"3,963",Yes,5,246,-1,920,50
Foard County Library,"1,135",01/01/2021,12/31/2021,Crowell,9406841250,"$22,096","$3,500",$0,$0,$0,Yes,Yes,"14,020",140,0,0,"15,360","7,800","1,002","8,400",0,"10,700",Yes,6,"3,600",-1,"1,250",50
Crowley Public Library,"18,070",10/01/2020,09/30/2021,Crowley,8172976707,"$4,05,006","$21,552","$3,800","$25,720","$33,956",Yes,Yes,"48,609","2,691","19,034","9,345","87,110","23,800","19,040","24,541","4,598","1,01,946",Yes,21,"1,744",-1,"2,019",52
Cuero Public Library,"8,128",10/01/2020,09/30/2021,Cuero,3612752864,"$1,68,684","$15,194","$2,524",$0,$0,Yes,Yes,"9,918",657,56,0,"11,803","12,294","3,381","11,081","1,849","19,501",Yes,16,"2,736",-1,"2,334",52
Daingerfield Public Library,"2,522",10/01/2020,09/30/2021,Daingerfield,9036452823,"$55,054","$5,867",$0,$0,$0,Yes,Yes,"13,162",431,0,0,"14,262","3,502","4,052","5,042",0,"5,780",Yes,5,"1,200",-1,"1,360",34
Dallam-Hartley County Library,"12,716",10/01/2020,09/30/2021,Dalhart,8062442761,"$1,09,317","$7,187",$590,$0,$0,Yes,Yes,"20,218",996,"5,982","1,941","30,462","7,702","2,275","6,223",240,"10,079",Yes,5,"1,348","3,916","1,992",51
Dallas Public Library,"13,04,379",10/01/2020,09/30/2021,Dallas,2146701400,"$1,83,97,167","$20,47,853","$18,98,139",$0,$0,Yes,Yes,"16,68,709","1,06,809","6,92,220","4,78,363","31,87,215","4,58,846","7,13,651","23,24,687","7,35,500","45,25,683",Yes,611,"43,004",-1,"4,280",21
Jones Public Library,"8,777",10/01/2020,09/30/2021,Dayton,9362587060,"$1,70,959","$13,099","$3,742",$0,$0,Yes,Yes,"20,876","1,001","1,996",380,"25,233","27,414","5,817","8,882","2,096","18,574",Yes,26,"2,397","4,147","1,878",51
DeLeon City County Library,"4,837",01/01/2021,12/31/2021,De Leon,2548932417,"$35,151","$4,850","$1,500",$0,$0,Yes,Yes,"8,672",325,"15,985","3,250","29,347","5,525","2,134","4,512","1,607","6,653",Yes,6,"1,465",-1,"1,485",52
Decatur Public Library,"28,359",10/01/2020,09/30/2021,Decatur,9403930290,"$3,98,490","$33,405","$3,451","$49,985","$49,985",Yes,Yes,"36,564","2,538","21,991","7,902","71,537","22,537","17,698","16,379","14,002","52,880",Yes,10,"2,741","18,690","1,454",48
Deer Park Public Library,"34,495",10/01/2020,09/30/2021,Deer Park,2814787208,"$8,24,473","$62,465","$56,169",$0,$0,Yes,Yes,"75,093","1,152","46,573","17,053","1,46,002","24,546","42,677","25,718","23,857","79,373",Yes,29,"4,499","18,896","2,331",51
Val Verde County Library,"49,028",10/01/2020,09/30/2021,Del Rio,8307747595,"$5,52,387","$74,548","$12,393",$0,$0,Yes,Yes,"50,515","1,607","1,593","2,525","58,949","28,787","28,787","20,918","3,692","43,387",Yes,29,"10,866",-1,"2,551",52
East Travis Gateway Library District,"36,540",01/01/2021,12/31/2021,Del Valle,5122431981,"$2,74,219","$31,141","$9,467",$0,"$4,718",Yes,Yes,"19,612",28,"16,868","4,703","43,171","4,188","5,511","1,302","1,710","4,555",Yes,20,845,"3,796","1,505",37
Denison Public Library,"24,479",10/01/2020,09/30/2021,Denison,9034651797,"$6,20,888","$46,527","$6,849",$0,$0,Yes,Yes,"28,094",792,"33,398","6,350","71,823","50,404","2,981","17,036","10,174","41,999",Yes,12,"8,593","27,488","2,136",51
Denton Public Library,"1,39,869",10/01/2020,09/30/2021,Denton,9403498752,"$39,63,157","$2,74,245","$3,05,522",$0,$0,Yes,Yes,"1,89,463","16,691","6,392","6,649","2,50,826","1,25,415","1,11,585","2,53,793","1,72,725","7,62,739",Yes,97,"15,838","3,27,154","1,542",22
Yoakum County/Cecil Bickley Library,"5,216",01/01/2021,12/31/2021,Denver City,8065922754,"$2,37,675","$19,086","$1,300",$0,$0,Yes,Yes,"46,347","1,618","18,672","3,556","74,551","19,425","5,779","5,691","2,069","14,443",Yes,12,"2,626","4,071","2,117",52
DeSoto Public Library,"56,145",10/01/2020,09/30/2021,DeSoto,9722309665,"$10,61,580","$99,000","$16,668",$0,$0,Yes,Yes,"45,086","1,745","7,446","10,305","75,359","45,555","17,500","1,19,866","21,187","2,76,769",Yes,45,"20,637","20,326","2,912",52
Driscoll Public Library,"4,324",10/01/2020,09/30/2021,Devine,8306632993,"$94,299","$3,572","$1,000",$0,"$7,771",Yes,Yes,"14,697",571,"15,719","3,568","36,667","7,368","1,587","3,066","2,315","9,006",Yes,11,"1,625",-1,"1,280",32
TLL Temple Memorial Library & Archives,"4,457",01/01/2021,12/31/2021,Diboll,9368295497,"$2,55,641","$15,858","$1,511",$0,$0,Yes,Yes,"35,497",434,"19,905","2,920","60,740","7,779","5,948","6,875","2,632","16,884",Yes,14,983,-1,"2,043",51
Dickinson Public Library,"23,444",10/01/2020,09/30/2021,Dickinson,2815343812,"$3,16,525","$25,874","$7,284",$0,$0,Yes,Yes,"36,313","1,299","19,794","2,962","63,651","23,465","10,733","21,939","3,598","36,031",Yes,12,"4,321","25,749","1,880",47
Dilley Public Library,"3,274",10/01/2020,09/30/2021,Dilley,8309651951,"$1,01,175","$5,000","$2,000",$0,$0,Yes,Yes,"13,573",150,"1,505",0,"15,396","1,881","1,476","1,885",55,"3,511",Yes,15,884,-1,"2,319",36
Rhoads Memorial Library,"7,396",10/01/2020,09/30/2021,Dimmitt,8066473532,"$88,673","$7,935","$3,944",$0,$0,Yes,Yes,"21,068","3,684","5,982","1,941","34,029","6,812","1,779","3,364",104,"6,221",Yes,7,"3,065","3,763","1,878",48
Donna Public Library,"25,950",10/01/2020,09/30/2021,Donna,9564642221,"$2,76,937","$9,627","$2,373",$0,$0,Yes,Yes,"51,144",222,"33,459","8,339","94,747","21,230","4,938","1,442","9,448","16,406",Yes,26,"3,971",-1,"2,034",30
Dripping Springs Community Library,"45,922",01/01/2021,12/31/2021,Dripping Springs,5128587825,"$5,09,872","$36,780","$1,53,433","$9,26,504","$9,28,504",Yes,Yes,"45,091","2,019","5,804","4,513","61,409","41,644","10,062","47,344","28,126","1,48,673",Yes,19,"1,479","43,149","1,995",35
Dublin Public Library,"3,359",10/01/2020,09/30/2021,Dublin,2544454141,"$92,274","$1,098","$3,325",$0,$0,Yes,Yes,"18,531",823,"20,877","7,324","49,622","8,008","5,487","11,618","1,658","17,526",Yes,35,396,"10,586","1,624",52
Killgore Memorial Library,"20,654",10/01/2020,09/30/2021,Dumas,8069354941,"$4,26,948","$21,970","$3,208",$0,$0,Yes,Yes,"39,537","1,970","5,982","1,941","60,521","31,712","2,369","9,799",506,"21,660",Yes,22,"2,027","9,339","2,013",50
Duncanville Public Library,"40,706",10/01/2020,09/30/2021,Duncanville,9727805050,"$7,11,933","$70,580","$10,795",$0,$0,Yes,Yes,"97,986","5,152","28,554","3,336","1,43,935","82,288","34,968","2,34,460","7,620","2,71,268",Yes,22,"27,787","70,137","1,867",52
Eula & David Wintermann Library,"5,416",07/01/2020,06/30/2021,Eagle Lake,9792345411,"$83,468","$6,744","$1,543",$0,$0,Yes,Yes,"27,522","2,024","15,472","1,718","47,380","7,124","4,637","2,519",57,"3,996",Yes,11,879,-1,"1,864",52
Eagle Pass Public Library,"42,705",10/01/2020,09/30/2021,Eagle Pass,8307737323,"$4,54,926","$29,512",$328,$0,$0,Yes,Yes,"33,296","1,499","16,742","4,078","56,858","10,812","7,522","2,016","1,069","5,763",Yes,2,"3,750",-1,"1,018",26
Springlake-Earth Community Library,"1,555",09/01/2020,08/31/2021,Earth,8062573357,"$61,397","$9,773","$2,154",$0,$0,Yes,Yes,"18,493",0,"17,099",526,"36,333","22,394","1,584","5,921","8,447","29,307",Yes,1,3,-1,"2,401",49
Centennial Memorial Library,"3,609",01/01/2021,12/31/2021,Eastland,2546292281,"$24,687","$4,957","$1,550",$0,$0,Yes,Yes,"13,142",306,"16,712","3,332","34,330","5,140","2,074","5,689",952,"10,970",Yes,7,416,"1,111",882,51
Dustin Michael Sekula Memorial Library,"1,54,869",10/01/2020,09/30/2021,Edinburg,9563836246,"$16,12,352","$52,521","$15,395",$0,$0,Yes,Yes,"1,08,380","1,888","9,578","3,278","1,32,519","72,181","1,49,921","18,896","9,031","70,450",Yes,90,"26,516","29,872","2,522",52
Jackson County Memorial Library,"14,854",10/01/2020,09/30/2021,Edna,3617822162,"$1,32,087","$28,418","$2,000",$0,$0,Yes,Yes,"23,596","1,726","23,591","5,771","55,934","15,258","3,997","8,901","2,711","23,470",Yes,11,"1,969","6,273","1,986",52
El Paso Public Library,"6,78,815",09/01/2020,08/31/2021,El Paso,9152127323,"$39,69,617","$5,08,396","$5,31,202",$0,$0,Yes,Yes,"6,61,201","29,572","52,659","15,070","8,44,720","91,944","1,41,024","2,01,927","1,99,860","6,21,893",Yes,683,0,"3,63,849","2,964",52
Schleicher County Public Library,"2,761",01/01/2021,12/31/2021,Eldorado,3258533767,"$27,582","$9,974","$1,500",$0,$0,Yes,Yes,"14,206",406,"28,367",948,"45,586","5,738","1,214","3,648",235,"6,304",Yes,8,618,828,"1,167",51
Electra Public Library,"2,292",10/01/2020,09/30/2021,Electra,9404952208,"$83,395","$2,820","$1,000",$0,$0,Yes,Yes,"22,605","1,429","9,816",655,"40,498","3,110","1,176","16,206","15,690","35,750",Yes,16,"1,547","1,273","1,968",49
Elgin Public Library,"9,784",10/01/2020,09/30/2021,Elgin,5122815678,"$2,29,157","$15,434","$1,641",$0,$0,Yes,Yes,"26,311","1,096","23,250","6,359","59,260","7,427","8,425","5,216","1,489","13,781",Yes,15,"1,465",-1,"1,333",34
Elsa Public Library,"8,757",10/01/2020,09/30/2021,Elsa,9562623061,"$1,34,522","$6,650",$550,$0,$0,Yes,Yes,"23,553",475,"9,868","3,568","37,977","3,239",102,222,45,"2,782",Yes,8,517,"3,261","2,213",52
Rains County Public Library,"12,552",10/01/2020,09/30/2021,Emory,9034735096,"$97,101","$16,972","$3,000",$0,$0,Yes,Yes,"21,806","1,467","33,655","21,063","80,241","13,063","9,565","16,152","3,680","23,904",Yes,9,"1,937",-1,"2,132",52
Ennis Public Library,"20,159",10/01/2020,09/30/2021,Ennis,9728755360,"$4,10,475","$26,936","$3,000","$48,479","$48,479",Yes,Yes,"26,019","1,008","34,768","6,958","70,487","38,020","12,939","30,170","4,838","57,810",Yes,15,"5,332","10,599","2,225",52
Euless Public Library,"61,032",10/01/2020,09/30/2021,Euless,8176851480,"$14,69,772","$97,035","$72,013","$10,26,590","$10,26,590",Yes,Yes,"55,903","2,061","66,082","24,323","1,55,837","83,676","28,209","95,015","20,595","2,23,167",Yes,31,"14,166",-1,"2,408",43
Everman Public Library,"6,154",10/01/2020,09/30/2021,Everman,8175510726,"$48,453","$2,472",$0,$0,$0,Yes,Yes,"14,368",183,0,0,"14,912","1,111",94,0,0,65,Yes,5,427,-1,402,14
Fairfield Library,"9,086",01/01/2021,12/31/2021,Fairfield,9033893574,"$59,531","$5,007","$1,500",$0,$0,Yes,Yes,"21,596",444,"18,763","6,421","48,008","12,867","2,687","5,854","2,957","12,769",Yes,25,"1,090",-1,"1,432",47
Ed Rachal Memorial Library,"6,964",10/01/2020,09/30/2021,Falfurrias,3613252144,"$37,090","$2,699",$0,$0,$0,Yes,Yes,"39,791",0,0,0,"39,791","10,354","8,399","9,727",0,"10,392",Yes,15,"5,785",-1,"2,080",52
Falls City Public Library,"1,001",10/01/2020,09/30/2021,Falls City,8302543361,"$75,360","$14,980","$2,148",$0,$0,Yes,Yes,"13,792",171,"16,786","4,442","37,072","4,120","1,056","4,055",516,"8,421",Yes,8,584,-1,"1,482",52
Farmers Branch Manske Public Library,"35,991",10/01/2020,09/30/2021,Farmers Branch,9722472511,"$7,12,750","$1,13,731","$85,849","$29,27,100","$29,27,100",Yes,Yes,"70,800","4,167","6,59,725","1,63,550","9,30,710","86,166","14,680","75,707","17,031","1,60,514",Yes,37,"14,356","94,158","2,843",46
Charles J Rike Memorial Library,"4,220",10/01/2020,09/30/2021,Farmersville,9727826681,"$96,334","$7,081",$0,$0,$0,Yes,Yes,"18,087","1,147",0,0,"21,947","4,985","5,898","5,118",0,"6,524",Yes,8,969,-1,"1,280",51
Ferris Public Library,"2,788",10/01/2020,09/30/2021,Ferris,9725443696,"$1,27,310","$9,176","$1,500",$0,$0,Yes,Yes,"16,719",298,"34,768","6,958","60,971","5,573","1,101","3,408","1,908","8,091",Yes,11,"1,309",-1,960,24
Florence Public Library,"1,171",10/01/2020,09/30/2021,Florence,2547932672,"$12,818","$4,062",$0,$0,$0,Yes,Yes,"9,043",37,0,0,"9,138","3,841","1,661","1,434",0,"2,707",Yes,7,402,-1,"1,564",46
Wilson County Public Libraries,"52,023",10/01/2020,09/30/2021,Floresville,8303937361,"$3,58,634","$33,957","$6,815",$0,$0,Yes,Yes,"57,619","3,437","17,018","4,671","89,858","43,682","26,373","60,487","7,050","1,03,914",Yes,42,"2,973","10,709","2,493",52
Flower Mound Public Library,"75,956",10/01/2020,09/30/2021,Flower Mound,9728746200,"$14,60,412","$1,21,993","$1,38,234","$44,780","$44,780",Yes,Yes,"81,409","3,399","25,330","8,554","1,26,605","1,55,453","44,380","1,07,994","90,437","4,87,747",Yes,16,"5,128","1,02,213","3,054",52
Floyd County Library,"5,672",10/01/2020,09/30/2021,Floydada,8069834922,"$66,617","$11,326",$0,$0,$0,Yes,Yes,"24,633",112,0,0,"25,360","16,899","2,981","7,921",0,"10,781",Yes,6,364,-1,"1,628",40
Forest Hill Public Library,"13,955",01/01/2021,12/31/2021,Forest Hill,8175515354,"$1,51,186","$13,052","$9,305","$17,165","$17,165",Yes,Yes,"20,580",992,"10,968",433,"37,655","5,544","8,148","2,292","19,345","28,329",Yes,22,"2,204",-1,"1,450",32
Jeff Davis County Library,"2,220",01/01/2021,12/31/2021,Fort Davis,4324263802,"$86,884","$12,639","$2,250",$0,$0,Yes,Yes,"9,808","1,142",0,0,"15,005","10,705",913,"10,334",0,"12,328",Yes,13,"1,656","2,366","2,064",52
Fort Stockton Public Library,"11,217",01/01/2021,12/31/2021,Fort Stockton,4323363374,"$3,87,896","$16,789","$1,950",$0,$0,Yes,Yes,"58,850","1,894",76,362,"64,854","40,601","10,093","16,520",360,"29,869",Yes,12,"17,900","25,010","1,968",50
Fort Worth Public Library,"9,18,915",10/01/2020,09/30/2021,Fort Worth,8173927323,"$1,37,78,859","$7,61,119","$22,03,440",$0,$0,Yes,Yes,"7,29,447","68,072","86,181","1,05,250","11,69,165","6,06,902","4,93,239","7,57,388","7,98,245","29,64,040",Yes,265,"79,138","8,52,141","1,360",26
Robertson County Library,"4,496",01/01/2021,12/31/2021,Franklin,9798284331,"$48,883","$7,540","$2,000",$0,$0,Yes,Yes,"13,715",111,"22,911","6,520","43,555","9,700","2,500","4,000",702,"8,902",Yes,5,"2,500",-1,"2,000",50
Frankston Depot Library,"2,479",01/01/2021,12/31/2021,Frankston,9038764463,"$18,018","$24,500",$0,$0,$0,Yes,Yes,"12,562",447,0,0,"14,564","2,421","2,384","1,968",0,"2,929",Yes,4,537,-1,"1,200",52
Pioneer Memorial Library,"26,275",10/01/2020,09/30/2021,Fredericksburg,8309976513,"$2,88,263","$16,602","$3,000",$0,$0,Yes,Yes,"30,637","1,252","16,786","4,442","55,180","22,096","7,935","19,564","5,352","38,358",Yes,9,"5,980",-1,"2,005",51
Friendswood Public Library,"45,011",10/01/2020,09/30/2021,Friendswood,2814827135,"$10,66,487","$86,844","$51,793",$0,$0,Yes,Yes,"85,735","6,456","45,421","20,861","1,65,457","1,08,779","59,611","1,32,393","58,037","3,30,138",Yes,12,"9,462","1,66,213","2,916",51
Friona Public Library,"4,171",10/01/2020,09/30/2021,Friona,8062503200,"$1,11,533","$25,496","$7,671","$90,802","$1,15,802",Yes,Yes,"32,940","1,596","5,982","1,941","43,665","6,026","2,686","3,215","1,247","7,202",Yes,13,469,"2,170","1,864",52
Frisco Public Library,"2,00,509",10/01/2020,09/30/2021,Frisco,9722925669,"$39,10,755","$3,77,698","$4,01,188",$0,$0,Yes,Yes,"1,54,705","1,161","45,345","11,583","2,34,787","4,05,235","1,04,877","5,24,065","2,84,665","22,68,835",Yes,78,"25,543","8,03,196","3,370",52
Cooke County Library,"38,378",10/01/2020,09/30/2021,Gainesville,9406685530,"$3,61,053","$39,000","$15,070",$0,"$4,515",Yes,Yes,"47,738","2,796","35,523","13,749","1,04,470","58,658","4,539","35,232","5,231","62,883",Yes,21,"4,328","26,405","2,343",45
Rosenberg Library,"60,383",10/01/2020,09/30/2021,Galveston,4097638854,"$24,28,677","$1,50,726","$1,62,643",$0,"$4,88,642",Yes,Yes,"99,509","5,146","67,735","60,452","2,57,679","1,40,262","70,490","84,520","61,314","2,23,463",Yes,37,"16,077","2,19,760","2,662",51
City of Garden Ridge Library,"4,186",10/01/2020,09/30/2021,Garden Ridge,2106516570,"$79,054","$5,188","$3,000",$0,$0,Yes,Yes,"14,037",732,"17,392","4,827","38,813","11,892","2,001","7,310","17,392","33,605",Yes,5,78,-1,"2,226",52
Nicholson Memorial Library System,"2,46,018",10/01/2020,09/30/2021,Garland,9722052548,"$42,82,000","$5,65,535","$6,39,820","$6,77,374","$6,77,374",Yes,Yes,"2,66,472","7,476","62,174","28,011","4,09,316","2,23,365","1,75,489","2,76,766","2,56,264","8,17,544",Yes,68,"44,502","86,872","2,810",51
Gatesville Public Library,"8,545",10/01/2020,09/30/2021,Gatesville,2548655367,"$1,72,826","$10,732","$6,518",$0,$0,Yes,Yes,"41,590","3,866","23,222","6,357","77,020","40,000","8,511","13,512","7,994","29,825",Yes,17,"4,200","11,251","2,771",52
Live Oak County Library,"10,974",01/01/2021,12/31/2021,George West,3614491124,"$88,007","$9,421",$0,$0,$0,Yes,Yes,"34,600","1,035","21,931","4,156","64,696","12,542","6,189","3,693",592,"7,114",Yes,13,"1,887",-1,"1,668",50
Georgetown Public Library,"67,176",10/01/2020,09/30/2021,Georgetown,5129303551,"$9,97,492","$1,82,463","$96,276",$0,$0,Yes,Yes,"97,367","9,743","23,471","8,418","1,49,323","1,29,803","44,001","2,14,858","87,420","4,50,236",Yes,24,"4,005",-1,"1,421",36
Giddings Public Library,"4,969",10/01/2020,09/30/2021,Giddings,9795422716,"$2,24,748","$7,881","$1,000",$0,$0,Yes,Yes,"28,589","1,010","23,250","6,359","60,074","25,954","5,594","9,327","1,252","24,268",Yes,25,"1,787","7,530","2,009",51
Upshur County Library,"42,166",10/01/2020,09/30/2021,Gilmer,9038435001,"$1,26,308","$35,609","$10,772",$0,$0,Yes,Yes,"60,583","1,301","1,689","2,075","68,656","14,628","4,783","17,695","3,515","37,767",Yes,23,611,"19,445","2,006",50
Jennie Trent Dew Library,"4,840",10/01/2020,09/30/2021,Goldthwaite,3256482447,"$47,199","$5,771","$2,500",$0,$0,Yes,Yes,"11,711",452,"17,197","4,572","35,465","9,890","2,925","5,091","3,249","10,178",Yes,13,"2,349",-1,"1,485",52
Goliad County Library,"7,626",10/01/2020,09/30/2021,Goliad,3616452291,"$1,05,355","$8,585","$1,000",$0,$0,Yes,Yes,"21,752",113,"23,591","5,771","53,077","7,609","6,330","4,001","1,470","6,372",Yes,4,370,-1,"1,976",40
Gonzales Public Library,"7,165",01/01/2021,12/31/2021,Gonzales,8306726315,"$2,26,039","$25,636","$1,500",$0,$0,Yes,Yes,"30,630","1,188",591,690,"38,829","47,929","15,869","15,988","2,893","24,755",Yes,17,"4,635",-1,"2,102",52
Library of Graham,"8,732",10/01/2020,09/30/2021,Graham,9405490600,"$1,39,764","$27,646","$3,000",$0,$0,Yes,Yes,"67,962","2,450","18,169","9,342","1,00,472","25,468","7,127","16,515","1,938","28,766",Yes,17,"1,828","12,712","1,976",52
Hood County Public Library,"63,527",10/01/2020,09/30/2021,Granbury,8175733569,"$4,24,194","$56,828","$45,460",$0,$0,Yes,Yes,"45,881","1,318","5,597","6,584","68,085","58,403","25,503","1,20,127","19,762","2,17,788",Yes,21,"4,802",-1,"2,462",49
Grand Prairie Public Library System,"1,96,100",10/01/2020,09/30/2021,Grand Prairie,9722375700,"$21,88,248","$1,30,697","$2,14,575","$3,53,860","$3,53,860",Yes,Yes,"1,22,952","4,006","24,268","31,707","1,99,181","1,80,866","79,569","63,734","80,429","2,82,228",Yes,50,"31,603","5,32,196","1,931",51
Grand Saline Public Library,"7,355",10/01/2020,09/30/2021,Grand Saline,9039625516,"$42,064","$9,111","$1,000",$0,$0,Yes,Yes,"10,183",301,"29,747","5,120","46,506","4,865",598,"4,342","1,573","8,500",Yes,5,436,"1,459","1,632",52
Grapeland Public Library,"1,465",01/01/2021,12/31/2021,Grapeland,9366873425,"$13,380","$13,231",$0,$0,$0,Yes,Yes,"8,703",28,0,0,"9,741","2,227","1,481","2,433",0,"5,370",Yes,16,"1,749",-1,960,48
Grapevine Public Library,"50,631",10/01/2020,09/30/2021,Grapevine,8174103400,"$15,18,356","$87,727","$1,07,900",$0,$0,Yes,Yes,"1,52,727","15,554","55,466","8,442","3,16,604","1,63,390","27,444","1,98,146","38,713","2,79,490",Yes,30,"2,973","93,622","3,213",51
W Walworth Harrison Public Library,"28,164",10/01/2020,09/30/2021,Greenville,9034572992,"$4,37,317","$43,935","$3,556","$2,500","$2,500",Yes,Yes,"69,055","1,805","29,798","5,090","1,07,979","45,321","2,000","37,011","10,125","79,282",Yes,22,"11,310",-1,"2,148",43
Groesbeck Public Library,"8,052",10/01/2020,09/30/2021,Groesbeck,2547293667,"$94,394","$6,028","$1,500","$13,620","$13,620",Yes,Yes,"23,798",296,"23,786","7,099","56,867","5,193","1,191","4,476","1,141","10,518",Yes,16,647,"3,000","1,489",52
Groves Public Library,"17,335",10/01/2020,09/30/2021,Groves,4099626281,"$2,12,609","$18,974","$3,000",$0,$0,Yes,Yes,"34,641","1,019","19,935","1,603","59,217","18,435","9,944","15,877","2,468","41,133",Yes,9,"2,365","7,965","2,058",42
Gunter Library and Museum,"3,222",01/01/2021,12/31/2021,Gunter,9037713066,$1,"$1,063","$1,500",$0,$0,Yes,Yes,"4,652",154,"23,415","5,157","33,756","3,813","2,024",657,640,"3,244",Yes,4,432,500,200,4
Guthrie CSD & King County Consolidated Library,283,10/01/2020,09/30/2021,Guthrie,8065964069,"$66,257","$5,091",$0,$0,$0,Yes,Yes,"21,794",541,83,1,"24,886","20,544",281,"2,837",0,"11,439",Yes,6,"2,651",-1,"1,700",49
Hale Center Public Library Inc,"3,036",01/01/2021,12/31/2021,Hale Center,8068392055,"$6,790",$93,$0,$0,$0,Yes,Yes,"12,934",331,0,0,"13,615","1,753","1,437",312,0,640,Yes,2,94,-1,855,40
Friench Simpson Memorial Library,"2,731",01/01/2021,12/31/2021,Hallettsville,3617983243,"$1,56,055","$9,092","$1,500",$0,$0,Yes,Yes,"17,439",449,"22,697","3,736","47,086","9,342","8,216","13,479","5,602","26,764",Yes,13,901,-1,"1,412",52
